Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,Processes,Algorithm
1,0.18,0.17,0.19,10000,4,basic linear
2,0.18,0.17,0.19,10000,4,basic linear
4,0.18,0.17,0.18,10000,4,basic linear
8,0.18,0.17,0.19,10000,4,basic linear
16,0.18,0.17,0.19,10000,4,basic linear
32,0.24,0.22,0.26,10000,4,basic linear
64,0.22,0.21,0.24,10000,4,basic linear
128,0.37,0.29,0.45,10000,4,basic linear
256,0.42,0.32,0.52,10000,4,basic linear
512,0.46,0.37,0.58,10000,4,basic linear
1024,0.64,0.49,0.84,10000,4,basic linear
2048,0.91,0.67,1.24,10000,4,basic linear
4096,1.48,1.05,2.02,10000,4,basic linear
8192,2.38,1.6,3.3,10000,4,basic linear
16384,4.52,3.75,5.0,10000,4,basic linear
32768,7.58,6.63,8.14,10000,4,basic linear
65536,12.87,10.48,13.93,10000,4,basic linear
131072,24.23,20.11,25.89,10000,4,basic linear
262144,47.02,40.09,49.86,10000,4,basic linear
524288,92.5,81.92,97.27,10000,4,basic linear
1048576,199.68,189.63,204.91,10000,4,basic linear
1,2.34,0.34,3.46,10000,46,binary tree
2,2.36,0.33,3.48,10000,46,binary tree
4,2.67,0.43,4.1,10000,46,binary tree
8,2.54,0.33,3.91,10000,46,binary tree
16,2.35,0.33,3.47,10000,46,binary tree
32,2.75,0.41,4.07,10000,46,binary tree
64,2.81,0.43,4.22,10000,46,binary tree
128,3.55,0.74,5.27,10000,46,binary tree
256,3.72,0.77,5.49,10000,46,binary tree
512,4.03,0.77,6.06,10000,46,binary tree
1024,5.21,0.85,7.81,10000,46,binary tree
2048,6.4,1.02,10.08,10000,46,binary tree
4096,9.65,1.52,15.33,10000,46,binary tree
8192,15.31,2.04,24.6,10000,46,binary tree
16384,33.17,5.96,45.71,10000,46,binary tree
32768,54.55,9.17,75.3,10000,46,binary tree
65536,100.07,16.13,140.39,10000,46,binary tree
131072,200.34,29.66,269.85,10000,46,binary tree
262144,386.2,55.76,518.55,10000,46,binary tree
524288,765.22,108.27,1026.75,10000,46,binary tree
1048576,1455.9,228.59,1969.85,10000,46,binary tree
1,0.83,0.22,1.19,10000,10,binary tree
2,0.83,0.22,1.18,10000,10,binary tree
4,0.82,0.22,1.17,10000,10,binary tree
8,0.82,0.22,1.17,10000,10,binary tree
16,0.82,0.22,1.17,10000,10,binary tree
32,0.96,0.23,1.3,10000,10,binary tree
64,0.93,0.23,1.26,10000,10,binary tree
128,1.25,0.36,1.62,10000,10,binary tree
256,1.3,0.37,1.69,10000,10,binary tree
512,1.39,0.36,1.79,10000,10,binary tree
1024,1.75,0.5,2.21,10000,10,binary tree
2048,2.2,0.61,2.89,10000,10,binary tree
4096,3.19,0.92,4.16,10000,10,binary tree
8192,4.93,1.48,6.46,10000,10,binary tree
16384,12.79,5.62,15.45,10000,10,binary tree
32768,19.36,8.4,23.13,10000,10,binary tree
65536,33.46,14.52,39.79,10000,10,binary tree
131072,60.93,26.45,71.93,10000,10,binary tree
262144,113.53,49.45,132.72,10000,10,binary tree
524288,221.62,97.38,259.61,10000,10,binary tree
1048576,461.27,208.35,533.88,10000,10,binary tree
1,3.19,0.33,6.46,10000,46,chain
2,3.77,0.54,7.58,10000,46,chain
4,3.3,0.31,6.65,10000,46,chain
8,3.36,0.31,6.46,10000,46,chain
16,3.13,0.3,6.4,10000,46,chain
32,3.57,0.26,7.24,10000,46,chain
64,3.62,0.26,7.15,10000,46,chain
128,4.54,0.35,8.3,10000,46,chain
256,4.78,0.38,8.48,10000,46,chain
512,5.06,0.41,8.97,10000,46,chain
1024,6.16,0.57,10.37,10000,46,chain
2048,7.72,0.99,14.03,10000,46,chain
4096,11.41,1.98,20.99,10000,46,chain
8192,17.76,3.31,32.81,10000,46,chain
16384,41.47,11.97,67.08,10000,46,chain
32768,62.07,20.2,101.17,10000,46,chain
65536,104.71,36.54,167.2,10000,46,chain
131072,190.83,74.06,305.3,10000,46,chain
262144,362.85,146.12,577.94,10000,46,chain
524288,709.68,293.43,1117.72,10000,46,chain
1048576,1431.69,590.79,2291.19,10000,46,chain
1,0.29,0.27,0.3,10000,6,basic linear
2,0.28,0.27,0.3,10000,6,basic linear
4,0.28,0.27,0.29,10000,6,basic linear
8,0.28,0.28,0.3,10000,6,basic linear
16,0.29,0.28,0.29,10000,6,basic linear
32,0.35,0.29,0.41,10000,6,basic linear
64,0.35,0.29,0.4,10000,6,basic linear
128,0.59,0.39,0.75,10000,6,basic linear
256,0.63,0.42,0.79,10000,6,basic linear
512,0.68,0.44,0.88,10000,6,basic linear
1024,1.02,0.6,1.38,10000,6,basic linear
2048,1.39,0.77,1.94,10000,6,basic linear
4096,2.23,1.14,3.2,10000,6,basic linear
8192,3.52,1.72,5.14,10000,6,basic linear
16384,6.39,3.9,7.76,10000,6,basic linear
32768,10.96,6.85,12.66,10000,6,basic linear
65536,20.75,15.92,22.94,10000,6,basic linear
131072,40.14,34.39,42.62,10000,6,basic linear
262144,80.26,73.7,83.37,10000,6,basic linear
524288,162.79,155.02,166.93,10000,6,basic linear
1048576,312.53,275.11,326.6,10000,6,basic linear
1,1.75,0.3,3.09,10000,28,binary tree
2,1.46,0.33,2.67,10000,28,binary tree
4,1.39,0.32,2.63,10000,28,binary tree
8,1.42,0.32,2.66,10000,28,binary tree
16,1.4,0.32,2.61,10000,28,binary tree
32,1.69,0.36,2.85,10000,28,binary tree
64,1.65,0.36,2.83,10000,28,binary tree
128,2.44,0.62,3.96,10000,28,binary tree
256,2.72,0.63,4.04,10000,28,binary tree
512,2.62,0.66,4.19,10000,28,binary tree
1024,3.33,0.79,5.41,10000,28,binary tree
2048,4.17,0.94,6.87,10000,28,binary tree
4096,6.53,1.41,10.29,10000,28,binary tree
8192,10.26,1.97,15.57,10000,28,binary tree
16384,24.42,5.26,29.96,10000,28,binary tree
32768,39.65,8.23,49.45,10000,28,binary tree
65536,78.66,15.83,98.15,10000,28,binary tree
131072,149.54,29.17,185.66,10000,28,binary tree
262144,280.25,55.12,339.08,10000,28,binary tree
524288,544.49,108.28,664.91,10000,28,binary tree
1048576,1069.4,216.06,1297.5,10000,28,binary tree
1,0.83,0.26,1.26,10000,14,binary tree
2,0.83,0.27,1.28,10000,14,binary tree
4,0.81,0.26,1.25,10000,14,binary tree
8,0.8,0.28,1.26,10000,14,binary tree
16,0.79,0.27,1.25,10000,14,binary tree
32,0.96,0.29,1.42,10000,14,binary tree
64,0.94,0.28,1.38,10000,14,binary tree
128,1.32,0.44,1.85,10000,14,binary tree
256,1.37,0.44,1.91,10000,14,binary tree
512,1.48,0.46,2.01,10000,14,binary tree
1024,1.92,0.54,2.49,10000,14,binary tree
2048,2.51,0.7,3.3,10000,14,binary tree
4096,3.75,0.97,4.94,10000,14,binary tree
8192,6.48,1.55,8.88,10000,14,binary tree
16384,15.45,5.63,18.18,10000,14,binary tree
32768,24.11,8.86,28.11,10000,14,binary tree
65536,42.11,15.26,48.72,10000,14,binary tree
131072,76.98,27.87,88.44,10000,14,binary tree
262144,144.58,52.71,166.58,10000,14,binary tree
524288,277.94,101.33,317.24,10000,14,binary tree
1048576,559.94,213.03,636.78,10000,14,binary tree
1,2.15,0.38,3.19,10000,42,default
2,2.09,0.34,3.09,10000,42,default
4,2.34,0.44,3.78,10000,42,default
8,2.09,0.34,3.09,10000,42,default
16,2.37,0.35,3.76,10000,42,default
32,2.39,0.49,3.59,10000,42,default
64,2.4,0.44,3.56,10000,42,default
128,3.07,0.97,4.33,10000,42,default
256,3.24,1.07,4.53,10000,42,default
512,3.55,1.24,4.95,10000,42,default
1024,4.61,1.96,6.26,10000,42,default
2048,5.73,2.18,9.72,10000,42,default
4096,8.14,3.81,13.26,10000,42,default
8192,12.57,6.81,20.25,10000,42,default
16384,22.3,13.52,29.35,10000,42,default
32768,38.65,22.56,50.84,10000,42,default
65536,78.73,44.34,102.33,10000,42,default
131072,157.54,84.67,217.44,10000,42,default
262144,313.15,163.28,439.26,10000,42,default
524288,623.18,325.84,876.48,10000,42,default
1048576,1234.3,610.3,1777.11,10000,42,default
1,0.64,0.25,1.05,10000,12,default
2,0.75,0.36,1.17,10000,12,default
4,0.67,0.33,1.1,10000,12,default
8,0.9,0.25,1.24,10000,12,default
16,0.88,0.25,1.2,10000,12,default
32,1.02,0.26,1.38,10000,12,default
64,0.76,0.39,1.21,10000,12,default
128,1.2,0.72,1.71,10000,12,default
256,1.27,0.78,1.79,10000,12,default
512,1.35,0.86,1.89,10000,12,default
1024,1.82,1.25,2.44,10000,12,default
2048,2.34,1.64,3.03,10000,12,default
4096,3.66,1.02,5.28,10000,12,default
8192,5.73,1.61,8.31,10000,12,default
16384,11.94,6.52,17.26,10000,12,default
32768,19.83,7.31,24.32,10000,12,default
65536,39.84,23.3,45.34,10000,12,default
131072,78.57,61.47,84.82,10000,12,default
262144,157.7,137.38,165.46,10000,12,default
524288,319.62,295.13,329.29,10000,12,default
1048576,573.95,454.43,621.98,10000,12,default
1,0.44,0.16,0.58,10000,6,binary tree
2,0.45,0.16,0.59,10000,6,binary tree
4,0.45,0.16,0.59,10000,6,binary tree
8,0.44,0.16,0.59,10000,6,binary tree
16,0.44,0.16,0.59,10000,6,binary tree
32,0.53,0.17,0.67,10000,6,binary tree
64,0.53,0.18,0.68,10000,6,binary tree
128,0.74,0.27,0.92,10000,6,binary tree
256,0.78,0.29,0.95,10000,6,binary tree
512,0.86,0.3,1.04,10000,6,binary tree
1024,1.09,0.39,1.33,10000,6,binary tree
2048,1.51,0.53,1.9,10000,6,binary tree
4096,2.22,0.81,2.85,10000,6,binary tree
8192,3.49,1.36,4.51,10000,6,binary tree
16384,9.2,5.44,10.5,10000,6,binary tree
32768,13.95,8.39,16.18,10000,6,binary tree
65536,23.0,13.44,27.47,10000,6,binary tree
131072,40.68,23.57,49.45,10000,6,binary tree
262144,77.75,45.19,94.37,10000,6,binary tree
524288,149.34,85.29,181.24,10000,6,binary tree
1048576,301.37,179.73,360.97,10000,6,binary tree
1,3.55,0.68,5.89,10000,38,chain
2,3.38,0.68,5.48,10000,38,chain
4,3.21,0.66,5.18,10000,38,chain
8,3.11,0.68,5.05,10000,38,chain
16,3.13,0.69,5.05,10000,38,chain
32,3.57,0.76,6.05,10000,38,chain
64,3.64,0.77,6.52,10000,38,chain
128,4.48,0.94,7.58,10000,38,chain
256,4.63,0.99,8.1,10000,38,chain
512,4.94,0.99,8.69,10000,38,chain
1024,5.92,1.2,10.68,10000,38,chain
2048,7.12,1.42,13.49,10000,38,chain
4096,10.21,2.19,19.06,10000,38,chain
8192,15.74,3.32,29.17,10000,38,chain
16384,36.81,12.52,57.1,10000,38,chain
32768,54.94,19.96,84.79,10000,38,chain
65536,93.35,37.95,144.93,10000,38,chain
131072,172.84,76.7,268.35,10000,38,chain
262144,319.88,144.32,502.25,10000,38,chain
524288,622.91,286.75,974.56,10000,38,chain
1048576,1252.43,548.57,1946.8,10000,38,chain
1,0.64,0.25,0.9,10000,8,binary tree
2,0.63,0.25,0.86,10000,8,binary tree
4,0.62,0.25,0.87,10000,8,binary tree
8,0.61,0.25,0.85,10000,8,binary tree
16,0.63,0.25,0.87,10000,8,binary tree
32,0.74,0.27,1.05,10000,8,binary tree
64,0.77,0.29,1.06,10000,8,binary tree
128,1.05,0.48,1.38,10000,8,binary tree
256,1.12,0.49,1.47,10000,8,binary tree
512,1.29,0.53,1.72,10000,8,binary tree
1024,1.62,0.61,2.16,10000,8,binary tree
2048,1.96,0.71,2.62,10000,8,binary tree
4096,2.97,1.06,3.94,10000,8,binary tree
8192,4.66,1.7,6.25,10000,8,binary tree
16384,11.33,5.99,15.09,10000,8,binary tree
32768,17.46,9.08,22.88,10000,8,binary tree
65536,29.32,15.34,38.3,10000,8,binary tree
131072,53.76,28.07,70.04,10000,8,binary tree
262144,101.12,52.4,132.02,10000,8,binary tree
524288,196.63,102.16,255.37,10000,8,binary tree
1048576,397.86,208.69,520.56,10000,8,binary tree
1,1.78,0.41,2.48,10000,32,binary tree
2,1.67,0.38,2.38,10000,32,binary tree
4,1.66,0.38,2.37,10000,32,binary tree
8,1.66,0.38,2.36,10000,32,binary tree
16,1.68,0.38,2.48,10000,32,binary tree
32,2.45,0.4,3.69,10000,32,binary tree
64,2.23,0.41,3.28,10000,32,binary tree
128,3.32,0.64,5.09,10000,32,binary tree
256,3.35,0.64,5.24,10000,32,binary tree
512,3.68,0.71,5.77,10000,32,binary tree
1024,4.51,0.75,6.97,10000,32,binary tree
2048,5.34,0.87,8.36,10000,32,binary tree
4096,7.96,1.36,11.96,10000,32,binary tree
8192,12.3,1.86,18.43,10000,32,binary tree
16384,25.95,5.25,34.69,10000,32,binary tree
32768,45.08,8.94,59.18,10000,32,binary tree
65536,84.06,16.27,108.77,10000,32,binary tree
131072,157.75,29.88,205.51,10000,32,binary tree
262144,297.15,56.79,389.96,10000,32,binary tree
524288,575.68,107.76,756.54,10000,32,binary tree
1048576,1112.01,222.53,1492.85,10000,32,binary tree
1,1.61,0.12,2.32,10000,20,basic linear
2,1.46,0.12,2.09,10000,20,basic linear
4,1.36,0.08,1.97,10000,20,basic linear
8,1.38,0.08,1.98,10000,20,basic linear
16,1.36,0.08,1.96,10000,20,basic linear
32,1.75,0.1,2.59,10000,20,basic linear
64,1.65,0.09,2.41,10000,20,basic linear
128,2.96,0.24,5.1,10000,20,basic linear
256,3.18,0.36,5.45,10000,20,basic linear
512,3.23,0.44,5.76,10000,20,basic linear
1024,4.4,0.55,8.32,10000,20,basic linear
2048,5.3,0.8,10.05,10000,20,basic linear
4096,7.76,1.33,15.0,10000,20,basic linear
8192,11.1,1.98,21.86,10000,20,basic linear
16384,18.88,5.33,27.71,10000,20,basic linear
32768,35.88,9.06,47.63,10000,20,basic linear
65536,74.15,29.36,91.44,10000,20,basic linear
131072,151.23,94.81,173.39,10000,20,basic linear
262144,303.71,240.6,326.62,10000,20,basic linear
524288,614.57,535.97,640.02,10000,20,basic linear
1048576,1026.76,687.05,1137.82,10000,20,basic linear
1,1.54,0.24,2.74,10000,24,chain
2,1.5,0.24,2.71,10000,24,chain
4,1.48,0.23,2.68,10000,24,chain
8,1.48,0.23,2.68,10000,24,chain
16,1.48,0.23,2.67,10000,24,chain
32,1.76,0.27,3.0,10000,24,chain
64,1.75,0.27,3.06,10000,24,chain
128,2.33,0.42,3.79,10000,24,chain
256,2.77,0.59,4.8,10000,24,chain
512,2.57,0.48,4.26,10000,24,chain
1024,3.17,0.7,5.25,10000,24,chain
2048,3.98,0.99,6.76,10000,24,chain
4096,5.95,1.65,10.08,10000,24,chain
8192,9.17,2.7,16.13,10000,24,chain
16384,24.0,10.93,36.13,10000,24,chain
32768,37.99,18.22,58.07,10000,24,chain
65536,68.12,35.99,103.9,10000,24,chain
131072,124.88,66.05,190.55,10000,24,chain
262144,242.6,130.46,369.4,10000,24,chain
524288,477.46,257.21,721.93,10000,24,chain
1048576,882.66,453.83,1384.76,10000,24,chain
1,0.8,0.36,1.24,10000,10,chain
2,0.94,0.44,1.41,10000,10,chain
4,0.84,0.39,1.29,10000,10,chain
8,0.8,0.37,1.24,10000,10,chain
16,0.81,0.37,1.25,10000,10,chain
32,0.91,0.4,1.44,10000,10,chain
64,0.92,0.4,1.46,10000,10,chain
128,1.2,0.55,1.73,10000,10,chain
256,1.25,0.6,1.81,10000,10,chain
512,1.34,0.65,2.0,10000,10,chain
1024,1.72,0.87,2.41,10000,10,chain
2048,2.1,1.06,2.89,10000,10,chain
4096,3.15,1.64,4.24,10000,10,chain
8192,4.96,2.57,6.74,10000,10,chain
16384,11.34,7.51,14.22,10000,10,chain
32768,18.03,12.57,21.9,10000,10,chain
65536,31.72,22.55,39.01,10000,10,chain
131072,58.91,42.13,71.97,10000,10,chain
262144,111.85,80.98,136.42,10000,10,chain
524288,220.69,160.48,270.24,10000,10,chain
1048576,448.0,314.64,566.0,10000,10,chain
1,3.34,0.68,5.7,10000,40,chain
2,3.33,0.69,5.59,10000,40,chain
4,4.2,0.66,6.88,10000,40,chain
8,3.72,0.68,6.16,10000,40,chain
16,3.43,0.68,5.68,10000,40,chain
32,3.73,0.72,6.31,10000,40,chain
64,3.75,0.73,6.3,10000,40,chain
128,4.71,1.14,7.96,10000,40,chain
256,4.8,1.07,8.23,10000,40,chain
512,5.19,1.18,8.89,10000,40,chain
1024,6.11,1.34,10.34,10000,40,chain
2048,7.38,1.51,13.0,10000,40,chain
4096,10.63,2.2,18.73,10000,40,chain
8192,16.07,3.26,28.52,10000,40,chain
16384,38.49,12.54,62.5,10000,40,chain
32768,57.48,20.39,92.65,10000,40,chain
65536,97.25,38.41,156.34,10000,40,chain
131072,182.01,78.38,303.11,10000,40,chain
262144,349.77,158.39,586.64,10000,40,chain
524288,668.6,307.97,1064.65,10000,40,chain
1048576,1315.45,575.04,2169.63,10000,40,chain
1,3.21,1.47,4.19,10000,34,default
2,2.84,1.41,3.66,10000,34,default
4,2.76,1.32,3.54,10000,34,default
8,2.97,1.35,3.89,10000,34,default
16,2.91,1.36,4.03,10000,34,default
32,3.21,1.43,4.34,10000,34,default
64,3.15,1.54,4.25,10000,34,default
128,3.79,2.02,4.91,10000,34,default
256,3.92,2.21,5.09,10000,34,default
512,4.19,2.24,5.55,10000,34,default
1024,5.1,2.82,6.71,10000,34,default
2048,6.46,3.36,10.19,10000,34,default
4096,8.8,4.75,13.78,10000,34,default
8192,12.72,7.07,19.98,10000,34,default
16384,21.85,13.26,28.09,10000,34,default
32768,37.88,22.4,49.46,10000,34,default
65536,79.56,45.38,105.62,10000,34,default
131072,159.24,84.32,214.78,10000,34,default
262144,312.83,160.66,428.26,10000,34,default
524288,633.42,319.05,880.34,10000,34,default
1048576,1217.92,590.23,1697.28,10000,34,default
1,2.86,1.11,3.81,10000,36,default
2,2.62,0.97,3.49,10000,36,default
4,2.55,0.99,3.37,10000,36,default
8,2.52,0.97,3.32,10000,36,default
16,2.82,1.03,3.75,10000,36,default
32,3.22,1.1,4.75,10000,36,default
64,3.01,1.1,4.33,10000,36,default
128,3.55,1.91,4.39,10000,36,default
256,3.64,2.1,4.44,10000,36,default
512,3.99,2.16,5.02,10000,36,default
1024,4.94,2.71,6.25,10000,36,default
2048,6.45,4.01,10.33,10000,36,default
4096,8.76,5.56,13.86,10000,36,default
8192,12.63,8.13,20.07,10000,36,default
16384,22.11,13.36,28.63,10000,36,default
32768,39.46,23.01,52.05,10000,36,default
65536,80.9,45.51,107.86,10000,36,default
131072,161.3,85.86,218.78,10000,36,default
262144,318.91,163.66,442.03,10000,36,default
524288,652.26,323.81,925.28,10000,36,default
1048576,1163.41,435.22,1673.45,10000,36,default
1,1.76,0.57,2.87,10000,26,binary tree
2,1.56,0.47,2.65,10000,26,binary tree
4,1.43,0.28,2.58,10000,26,binary tree
8,1.41,0.26,2.56,10000,26,binary tree
16,1.43,0.26,2.57,10000,26,binary tree
32,1.65,0.29,2.7,10000,26,binary tree
64,1.63,0.28,2.73,10000,26,binary tree
128,2.32,0.54,3.53,10000,26,binary tree
256,2.47,0.54,3.91,10000,26,binary tree
512,2.44,0.55,3.64,10000,26,binary tree
1024,3.06,0.67,4.52,10000,26,binary tree
2048,3.85,0.92,5.81,10000,26,binary tree
4096,6.08,1.41,8.88,10000,26,binary tree
8192,9.56,1.93,14.09,10000,26,binary tree
16384,24.02,5.26,30.07,10000,26,binary tree
32768,39.26,8.16,49.67,10000,26,binary tree
65536,75.96,15.35,96.88,10000,26,binary tree
131072,143.04,26.85,180.82,10000,26,binary tree
262144,272.33,53.77,327.7,10000,26,binary tree
524288,528.7,106.11,648.5,10000,26,binary tree
1048576,1013.98,219.24,1264.51,10000,26,binary tree
1,1.27,0.65,2.45,10000,28,default
2,0.95,0.32,1.77,10000,28,default
4,0.83,0.15,1.46,10000,28,default
8,0.83,0.16,1.46,10000,28,default
16,0.83,0.15,1.44,10000,28,default
32,1.04,0.26,1.68,10000,28,default
64,1.01,0.23,1.63,10000,28,default
128,1.85,0.75,3.02,10000,28,default
256,2.1,0.86,3.47,10000,28,default
512,2.21,1.02,3.71,10000,28,default
1024,2.72,1.15,4.79,10000,28,default
2048,3.64,1.53,6.4,10000,28,default
4096,5.6,3.54,7.92,10000,28,default
8192,9.01,5.4,12.7,10000,28,default
16384,21.52,7.68,30.32,10000,28,default
32768,37.3,12.6,54.16,10000,28,default
65536,76.57,24.33,113.51,10000,28,default
131072,152.77,45.55,230.15,10000,28,default
262144,302.68,88.95,450.78,10000,28,default
524288,591.12,174.24,874.82,10000,28,default
1048576,793.89,714.21,907.91,10000,28,default
1,0.71,0.29,0.98,10000,10,default
2,0.71,0.28,0.98,10000,10,default
4,0.72,0.29,1.0,10000,10,default
8,0.83,0.22,1.21,10000,10,default
16,0.84,0.22,1.21,10000,10,default
32,0.96,0.24,1.35,10000,10,default
64,0.83,0.38,1.13,10000,10,default
128,1.25,0.66,1.74,10000,10,default
256,1.31,0.7,1.85,10000,10,default
512,1.38,0.74,1.97,10000,10,default
1024,1.81,1.14,2.5,10000,10,default
2048,2.21,1.42,3.03,10000,10,default
4096,3.34,0.92,4.36,10000,10,default
8192,5.19,1.47,6.91,10000,10,default
16384,11.52,6.59,16.92,10000,10,default
32768,17.17,7.91,20.65,10000,10,default
65536,33.78,20.6,38.13,10000,10,default
131072,66.81,53.4,71.92,10000,10,default
262144,133.44,119.34,139.68,10000,10,default
524288,271.57,254.99,279.55,10000,10,default
1048576,490.9,425.17,526.12,10000,10,default
1,3.51,0.22,5.78,10000,40,basic linear
2,3.42,0.19,5.64,10000,40,basic linear
4,3.71,0.28,5.97,10000,40,basic linear
8,3.51,0.19,5.95,10000,40,basic linear
16,3.45,0.18,5.74,10000,40,basic linear
32,4.53,0.29,8.1,10000,40,basic linear
64,4.48,0.3,8.39,10000,40,basic linear
128,8.45,0.63,16.59,10000,40,basic linear
256,8.8,0.66,17.77,10000,40,basic linear
512,9.22,0.68,18.95,10000,40,basic linear
1024,12.97,0.84,27.22,10000,40,basic linear
2048,16.4,1.17,34.29,10000,40,basic linear
4096,23.71,1.69,50.37,10000,40,basic linear
8192,35.13,2.34,75.31,10000,40,basic linear
16384,29.67,6.88,46.36,10000,40,basic linear
32768,64.41,13.33,91.84,10000,40,basic linear
65536,142.87,29.44,183.67,10000,40,basic linear
131072,299.89,50.67,357.94,10000,40,basic linear
262144,613.63,89.4,707.05,10000,40,basic linear
524288,1275.34,171.24,1436.17,10000,40,basic linear
1048576,2450.65,341.83,2760.29,10000,40,basic linear
1,0.19,0.1,0.28,10000,2,binary tree
2,0.2,0.11,0.3,10000,2,binary tree
4,0.19,0.1,0.28,10000,2,binary tree
8,0.18,0.1,0.27,10000,2,binary tree
16,0.19,0.1,0.27,10000,2,binary tree
32,0.22,0.1,0.33,10000,2,binary tree
64,0.23,0.11,0.34,10000,2,binary tree
128,0.3,0.14,0.45,10000,2,binary tree
256,0.3,0.14,0.46,10000,2,binary tree
512,0.31,0.14,0.48,10000,2,binary tree
1024,0.4,0.19,0.62,10000,2,binary tree
2048,0.51,0.21,0.8,10000,2,binary tree
4096,0.77,0.35,1.19,10000,2,binary tree
8192,1.21,0.59,1.83,10000,2,binary tree
16384,2.73,2.66,2.79,10000,2,binary tree
32768,4.68,4.57,4.78,10000,2,binary tree
65536,5.97,5.87,6.07,10000,2,binary tree
131072,8.58,8.46,8.7,10000,2,binary tree
262144,13.64,13.53,13.75,10000,2,binary tree
524288,26.39,26.25,26.53,10000,2,binary tree
1048576,57.02,56.98,57.06,10000,2,binary tree
1,2.34,0.34,3.63,10000,48,binary tree
2,2.51,0.46,3.82,10000,48,binary tree
4,2.58,0.46,3.83,10000,48,binary tree
8,2.36,0.36,3.63,10000,48,binary tree
16,2.31,0.34,3.5,10000,48,binary tree
32,2.7,0.45,4.14,10000,48,binary tree
64,2.94,0.5,4.5,10000,48,binary tree
128,3.81,0.78,5.75,10000,48,binary tree
256,4.02,0.81,6.13,10000,48,binary tree
512,4.27,0.81,6.61,10000,48,binary tree
1024,5.46,0.89,8.43,10000,48,binary tree
2048,6.95,1.12,11.13,10000,48,binary tree
4096,10.36,1.66,16.74,10000,48,binary tree
8192,15.96,2.22,26.35,10000,48,binary tree
16384,34.31,5.88,48.15,10000,48,binary tree
32768,56.25,9.22,80.85,10000,48,binary tree
65536,103.85,16.37,149.46,10000,48,binary tree
131072,211.99,28.24,287.96,10000,48,binary tree
262144,409.82,53.59,553.22,10000,48,binary tree
524288,825.17,105.74,1106.8,10000,48,binary tree
1048576,1532.94,223.83,2091.01,10000,48,binary tree
1,0.95,0.22,1.49,10000,16,basic linear
2,1.06,0.29,1.68,10000,16,basic linear
4,0.99,0.28,1.55,10000,16,basic linear
8,0.99,0.28,1.56,10000,16,basic linear
16,0.99,0.28,1.57,10000,16,basic linear
32,1.22,0.31,2.03,10000,16,basic linear
64,1.17,0.31,1.92,10000,16,basic linear
128,2.17,0.47,3.72,10000,16,basic linear
256,2.25,0.48,3.86,10000,16,basic linear
512,2.23,0.48,3.81,10000,16,basic linear
1024,3.26,0.7,5.62,10000,16,basic linear
2048,4.07,0.95,6.95,10000,16,basic linear
4096,6.07,1.26,10.54,10000,16,basic linear
8192,9.36,1.95,16.01,10000,16,basic linear
16384,13.2,4.2,18.28,10000,16,basic linear
32768,25.77,7.27,32.53,10000,16,basic linear
65536,52.13,24.44,60.31,10000,16,basic linear
131072,104.03,74.81,113.2,10000,16,basic linear
262144,209.94,180.3,220.65,10000,16,basic linear
524288,427.65,388.19,440.65,10000,16,basic linear
1048576,809.21,559.0,856.37,10000,16,basic linear
1,1.77,0.44,4.32,10000,30,chain
2,1.62,0.41,3.92,10000,30,chain
4,1.62,0.4,3.86,10000,30,chain
8,1.6,0.4,3.85,10000,30,chain
16,1.6,0.4,3.85,10000,30,chain
32,1.98,0.41,4.19,10000,30,chain
64,2.25,0.41,4.65,10000,30,chain
128,2.77,0.56,5.24,10000,30,chain
256,2.66,0.56,4.98,10000,30,chain
512,2.86,0.62,5.31,10000,30,chain
1024,3.61,0.8,6.58,10000,30,chain
2048,4.59,1.04,8.42,10000,30,chain
4096,7.1,1.98,12.36,10000,30,chain
8192,10.85,2.88,18.77,10000,30,chain
16384,27.93,10.99,40.4,10000,30,chain
32768,44.58,19.02,64.19,10000,30,chain
65536,78.13,35.4,111.31,10000,30,chain
131072,143.92,66.06,209.11,10000,30,chain
262144,277.75,129.71,404.83,10000,30,chain
524288,547.92,255.32,798.22,10000,30,chain
1048576,1062.96,492.44,1559.28,10000,30,chain
1,1.64,0.47,3.18,10000,26,chain
2,1.52,0.43,3.03,10000,26,chain
4,1.49,0.41,2.98,10000,26,chain
8,1.49,0.41,2.96,10000,26,chain
16,1.49,0.41,2.97,10000,26,chain
32,1.78,0.43,3.41,10000,26,chain
64,1.78,0.42,3.43,10000,26,chain
128,2.92,0.67,5.28,10000,26,chain
256,2.51,0.56,4.47,10000,26,chain
512,2.57,0.6,4.71,10000,26,chain
1024,3.24,0.84,5.84,10000,26,chain
2048,4.13,1.12,7.58,10000,26,chain
4096,6.33,2.08,11.04,10000,26,chain
8192,9.74,3.04,16.9,10000,26,chain
16384,25.18,10.9,35.7,10000,26,chain
32768,40.17,18.46,58.34,10000,26,chain
65536,70.33,34.36,102.08,10000,26,chain
131072,131.21,65.84,190.88,10000,26,chain
262144,260.4,131.87,399.21,10000,26,chain
524288,483.08,239.37,741.38,10000,26,chain
1048576,954.39,474.6,1461.16,10000,26,chain
1,2.28,0.53,3.22,10000,40,default
2,2.17,0.43,3.05,10000,40,default
4,2.31,0.52,3.23,10000,40,default
8,2.32,0.55,3.41,10000,40,default
16,2.32,0.53,3.4,10000,40,default
32,2.53,0.54,3.71,10000,40,default
